Item Name,MRP,Purchase Rate,Quantity,Expiry Date,Batch Number,Discount %,Discount Value,GST %,GST Value,Amount,Billing Date
MONTEK LC TAB 10 SA,179.5,128.21,5,10-08-2023,SIC0729A,2,12.82,12,628.23,703.61,10-Jun-21
TELSAR- H TAB 15 SA,234,167.14,2,10-05-2022,2C45G008,2,6.69,12,327.59,366.91,10-Jun-21
ATORVA-10MG TAB,91.89,65.64,1,10-02-2023,H01149,2,1.31,12,64.33,72.05,10-Jun-21
CREON 10000 CAP,544.24,388.75,1,10-01-2023,CNA21011,2,7.78,12,380.97,426.69,10-Jun-21
BESTOZYME PED. SYP 60ML,73.94,52.81,1,10-08-2022,D0500321,2,1.06,12,51.75,57.97,10-Jun-21
PRAZOPRESS XL 5 TAB 30 S,415,296.43,1,10-01-2023,GTC0305A,2,5.93,12,290.5,325.36,10-Jun-21
QUTIPIN 25MG 10 S,54,38.57,1,10-07-2023,GTC0230A,2,0.77,12,37.8,42.34,10-Jun-21
GLIMESTAR-M1 TAB 10 S,65.82,47.01,2,10-01-2023,C7AFU015,2,1.88,12,92.14,103.2,10-Jun-21
ASTHALIN ROTACAPS 60 S,47.56,33.97,1,10-03-2024,SA10842,2,0.68,12,33.29,37.29,10-Jun-21
VILDAMAC M 50/500 TAB,124,88.57,3,10-02-2023,KV121007A,2,5.31,12,260.4,291.64,10-Jun-21
LIVERIL-FORTE CAP 15 SF,394,267.12,1,10-04-2022,327SPL2013F,2,5.34,18,261.78,308.9,10-Jun-21
LEVIGRESS 500 TAB,121,90.75,1,10-07-2023,T0472038,2,1.82,12,88.93,99.61,10-Jun-21
FOL-123 MF TAB 10 S,171,122.14,2,10-09-2022,FMFP21003,2,4.89,12,239.39,268.11,10-Jun-21
FERONIA XT DROP 15ML,103.2,73.71,1,10-02-2023,ZLE3AF1005,2,1.47,12,72.24,80.9,10-Jun-21
ALZOLAM 0.25MG TAB 10 S,15.9,11.36,10,10-07-2023,BSX1887,2,2.27,12,111.33,124.69,10-Jun-21
EZACT-90 TAB 10 SBW,140,100,1,10-07-2023,SIC0344B,2,2,12,98,109.76,10-Jun-21
ELIWEL 10MG TAB 10 SF,25.53,18.24,1,10-01-2024,SIC0522A,2,0.36,12,17.88,20.02,10-Jun-21
MAXMALA-50 CAP 10 SF,137,97.86,3,10-01-2023,FHY0148,2,5.87,12,287.71,322.23,10-Jun-21
ESOMAC 40 15S,138.01,98.58,1,11-01-2022,EC01004,2,1.97,12,96.61,108.21,10-Jun-21
DYTOR-5 TAB 15 SBW,53.9,38.5,1,10-02-2024,SN10386,2,0.77,12,37.73,42.25,10-Jun-21
RAPILIF 8 TAB,420.6,300.43,1,10-01-2023,IBN011004,2,6.01,12,294.42,329.76,10-Jun-21
PANIDO-20 TAB 10 S,41.25,29.46,1,10-09-2021,14P19T02,2,0.59,12,28.87,32.33,10-Jun-21
CYRA-D CAP 10 SF,43,30.71,10,10-01-2023,CD-11389,2,6.14,12,300.96,337.08,10-Jun-21
SUPRACAL TAB 15 SBW,165,117.86,2,11-02-2022,SCTP21009,2,4.71,12,231.01,258.73,10-Jun-21
GLYCIPHAGE 850MG TAB 10 S,27.8,19.86,3,11-02-2023,21001,2,1.19,12,58.39,65.39,10-Jun-21
GLYCIPHAGE PG2 TAB,181.3,129.5,4,10-01-2023,IA21005,2,10.36,12,507.64,568.56,10-Jun-21
THYROX 88 100 S,171.16,122.26,1,10-01-2023,GTG21002A,2,2.45,12,119.81,134.19,10-Jun-21
ULTRACET TAB 15 S,219,156.43,1,10-02-2023,N1769,4,6.26,12,150.17,168.19,10-Jun-21
TELMA CT 40/12.5 TAB,224,160,2,11-01-2023,18201126,4,12.8,12,307.2,344.06,10-Jun-21
CHOLECHEK 10MG 10 S,43.68,31.2,1,11-02-2022,CBK1AC2P,4,1.25,12,29.95,33.55,10-Jun-21
CHOLECHEK 10MG 10 S,43.68,31.2,1,11-02-2022,CBK1AC29,4,1.25,12,29.95,33.55,10-Jun-21
PRACTIN TAB 10 S,30.7,21.93,14,10-04-2023,JV10276,4,12.28,12,294.74,330.1,10-Jun-21
AZTOLET-10MG TAB 10 SF,155,110.71,1,11-02-2023,FHY0062,3,3.32,12,107.39,120.27,10-Jun-21
VELTAM- 0.4MG TAB 15 SA,156,111.43,2,10-02-2024,N2100733,3,6.69,12,216.17,242.11,10-Jun-21
SARTEL-40 TAB 15 SF,110.38,78.84,1,10-02-2024,N2100591,3,2.37,12,76.47,85.65,10-Jun-21
MONOTRATE SR 30 10 SF,54.61,39.01,1,11-01-2022,OTB0314A,3,1.17,12,37.84,42.38,10-Jun-21
DOLONEX 40MG INJ. 2ML,48.3,34.49,2,10-08-2023,20040238,3,2.07,12,66.91,74.93,10-Jun-21
JISERA FORTE TAB,71.5,51.07,3,01-10-2022,T-2040302,3,4.6,12,148.61,166.45,10-Jun-21
KARPIN LOTION 25ML,57,40.71,1,10-01-2024,KLA24,3,1.22,12,39.49,44.23,10-Jun-21
ORPENEM 200 TAB 6 S,480,342.86,1,10-08-2022,QRM210301,3,10.29,12,332.57,372.47,10-Jun-21
TENLIMAC 20 TAB 10 S,69,49.29,6,10-08-2022,KTM2003C,4,11.83,12,283.91,317.97,10-Jun-21
TENGINOW M 1000 TAB 10 S,108,77.15,2,11-02-2022,KTO21002A,4,6.17,12,148.13,165.91,10-Jun-21
BILAGRA-M TAB,158,112.86,1,10-06-2022,BMA200707,4,4.51,12,108.35,121.35,10-Jun-21
TELSAR CH 40/12.5 TAB,98.8,70.57,3,10-05-2022,TCFH-2008,4,8.47,12,203.24,227.62,10-Jun-21
DIGIPEN DROP 10ML,90.5,64.64,1,10-08-2022,21490105,4,2.59,12,62.05,69.49,10-Jun-21
SEDEROM TAB 10 S,173,117.29,2,10-09-2022,14TSD118,4,9.38,18,225.2,265.74,10-Jun-21
ORCIBEST 10 TAB,148.5,106.07,1,10-01-2023,1100842,4,4.24,12,101.83,114.05,10-Jun-21
HEMFER SYP 225ML,135,96.43,1,10-07-2022,21490033,4,3.86,12,92.57,103.67,10-Jun-21
TRIGEM-2 10TAB,115,82.14,6,11-01-2022,E01612,4,19.71,12,473.13,529.91,10-Jun-21
LOSIUM - H 30 S,261.4,186.71,1,10-03-2023,JKDM21002,4,7.47,12,179.24,200.74,10-Jun-21
NEXITO-FORTE TAB 10 SF,140,100,2,10-02-2023,GTC0359A,4,8,12,192,215.04,10-Jun-21
M. V. I. INJ 10ML,22.74,16.24,4.5,11-01-2021,NP20241,4,2.92,12,70.16,78.58,10-Jun-21
MIFEGEST 200mg 1 S,359.25,256.61,1,11-02-2022,S100093,4,10.26,12,246.35,275.91,10-Jun-21
GLYNASE XL 10 TAB,16.63,11.88,1,11-01-2022,56000402,4,0.48,12,11.4,12.76,10-Jun-21
CHERI CAPS (NEW) 10 S,104.5,74.64,3,10-04-2022,CHC20030,4,8.96,12,214.96,240.76,10-Jun-21
AMLOKIND- 2.5 TAB 30 S,29.47,21.05,2,11-01-2022,J1AFT011,2,0.84,12,41.26,46.22,10-Jun-21
EASUM FOOD 400GM,265,200.49,1,10-06-2022,21031269,0,0,18,200.49,236.57,10-Jun-21
PROTINEX 250GM. CHOCO,350,263.17,1,10-04-2022,ZPCH0005,0,0,18,263.17,310.55,10-Jun-21
PROTINEX PKT(VANILA) 200GM,350,263.17,1,10-06-2022,1ZPLU0009,0,0,18,263.17,310.55,10-Jun-21
BETAKIND GARGLE 50ML,104.5,74.64,1,11-02-2021,A0DFT039,4,2.99,12,71.65,80.25,10-Jun-21
CUTINORM BAR 75GM,159,107.79,1,10-01-2022,CBB-2001,4,4.31,18,103.48,122.1,10-Jun-21
D-BOSE 0.3 TAB,161.5,115.36,3,10-09-2022,DBOT20004,4,13.84,12,332.24,372.1,10-Jun-21
DV 400 SYP 30ML,78.62,56.16,1,10-08-2022,21520114,4,2.25,12,53.91,60.37,10-Jun-21
EVION-400MG CAP 10 S,32.7,23.36,20,10-06-2023,1109C59904,4,18.69,12,448.51,502.33,10-Jun-21
EVION-LC TAB 10 S,47.13,33.67,10,10-08-2022,1067C82305,4,13.47,12,323.23,362.01,10-Jun-21
GLIMFIRST M2 TAB,119.7,85.5,2,10-08-2022,RT-200948,4,6.84,12,164.16,183.86,10-Jun-21
GLUCORED TAB 10 SBW,39.4,28.14,2,11-01-2023,RPB0620A,4,2.25,12,54.03,60.51,10-Jun-21
RABICOL DSR TAB,85,60.72,9,11-01-2022,GC200697,4,21.86,12,524.62,587.58,10-Jun-21
RAVIER-D CAP 10 S,127.05,90.75,3.5,11-02-2022,RDC2101,4,12.71,12,304.92,341.52,10-Jun-21
SYSTAFLAM GEL 50GM,108,77.14,1,11-01-2022,852,4,3.09,12,74.05,82.93,10-Jun-21
TRANSPACER-V PHIL,381,272.14,1,10-06-2025,CTA1217,4,10.89,12,261.25,292.61,10-Jun-21
ZUKANORM M 500 TAB,67.5,48.21,2,11-02-2022,03FZU003,4,3.86,12,92.56,103.66,10-Jun-21
FEBUGET 40 TAB,178.5,127.5,2,10-07-2023,SIC0537A,5,12.75,12,242.25,271.33,10-Jun-21
FEMILON TAB 21 S,250,200,1,10-01-2023,TD13311,5,10,0,190,190,10-Jun-21
GABANTIN FORTE TAB 10SF,189,135,2,10-01-2023,GTC0181A,5,13.5,12,256.5,287.28,10-Jun-21
LOSAR 50 TAB 15 S,118.6,84.71,3,10-01-2024,8FY811003,5,12.71,12,241.42,270.4,10-Jun-21
NATRILIX-SR TAB 10 SA,109,77.86,1,11-01-2023,N022005,5,3.89,12,73.97,82.85,10-Jun-21
NEXPRO RD 40 CAP 10 SF,148.55,106.11,2,10-08-2022,RF1320109,5,10.61,12,201.61,225.81,10-Jun-21
NITROCONTIN 2.6MG 25 S,257,183.57,1,10-01-2023,B00421,5,9.18,12,174.39,195.31,10-Jun-21
PRAZOPRESS XL 5 TAB 30 S,415,296.43,1,11-02-2022,GTB0307A,5,14.82,12,281.61,315.41,10-Jun-21
ROSUMAC-20 TAB 10 SF,238,170,3,10-05-2023,KRM2003A,5,25.5,12,484.5,542.64,10-Jun-21
SHELCAL 500mg TAB 15 S,108.7,77.64,10,01-10-2022,8CH2G378,5,38.82,12,737.58,826.08,10-Jun-21
XIGDUO XR 10/1000MG TAB,418.6,299,4,10-02-2023,HHX004,5,59.8,12,1136.2,1272.54,10-Jun-21
INNOVFOL HB CAP 10 S,159,107.8,3,10-03-2022,INFHB2004,4,12.94,18,310.46,366.34,10-Jun-21
GLITARAY M-2 TAB,139,99.29,2,11-01-2022,GLMH20018,4,7.94,12,190.64,213.52,10-Jun-21
STATOR CV 10 TAB,150.56,107.54,1,11-02-2022,WNG0008,4,4.3,12,103.24,115.62,10-Jun-21
FIBROGESIC SR TAB 10 S,159.5,113.93,1,11-01-2022,FGD-03,4,4.56,12,109.37,122.49,10-Jun-21
DALACIN-C 300mg CAP10 S,242.64,199.22,2,11-02-2025,B588902,4,15.94,5,382.5,401.62,10-Jun-21
CILENTRA 5MG 10 SBW,49.01,35.01,1,10-07-2023,NTCTR21001,4,1.4,12,33.61,37.65,10-Jun-21
NOVOMIX 30 PENFIL 3ML,704,563.2,1,10-08-2022,KR7GK89,4,22.53,5,540.67,567.71,10-Jun-21
LEVESAM-250 15TAB,97.63,69.74,4,01-10-2022,HTF0211,4,11.16,12,267.8,299.94,10-Jun-21
THIOSOL-CT LOTION 100ML,93,66.43,1,11-01-2022,190,1.96,1.3,12,65.13,72.95,10-Jun-21
ANXISET 0.5 TAB,71.5,51.07,1,11-01-2022,33720071,1.96,1,12,50.07,56.07,10-Jun-21
MEDRONORM 10 TAB,56.6,40.43,1,11-01-2023,ME1TA011,1.96,0.79,12,39.64,44.4,10-Jun-21
MENUVIT TAB 10 S,63,42.71,6,10-06-2022,MV1001,11,28.19,18,228.07,269.13,10-Jun-21
PEPCARE-D TAB,68,48.57,6,10-02-2023,PED1001,11,32.06,12,259.36,290.48,10-Jun-21
APNICID-40 TAB,88.6,9,10,11-02-2022,T1002,0,0,12,90,100.8,10-Jun-21
SULOXID O SYP 200ML,230,52.8,3,10-01-2023,1YBL003,0,0,12,158.4,177.4,10-Jun-21
CLEARWAX ERE DROP,66.5,24.03,3,11-02-2021,D700184,0,0,12,72.09,80.75,10-Jun-21
MONAMOX-CL BD 30ML,68,51,4,10-07-2022,721-12,2,4.08,12,199.92,223.92,11-Jun-21
MUPIR0L OINT 5GM,89,64.03,2,10-03-2022,20688,2,2.56,12,125.5,140.56,11-Jun-21
PANZEL-DSR,95,68.35,6,10-07-2022,521-25,2,8.2,12,401.9,450.12,11-Jun-21
ACILOC RD TAB 30 SBOX,128.1,91.5,10,11-02-2023,JKAD21005,4,36.6,12,878.4,983.8,11-Jun-21
PANTOP-D CAP 10 S,99.5,71.07,1,10-01-2023,SPB210238,4,2.84,12,68.23,76.41,11-Jun-21
OLVANCE 20MG 10 S,113,80.71,1,10-05-2023,SIC03388,4,3.23,12,77.48,86.78,11-Jun-21
GLIMY-4mg TAB 10 SBY,162,115.71,1,01-10-2022,G20GYG005,4,4.63,12,111.08,124.4,11-Jun-21
BUDATE 200MG TRANSHALER,351.46,251.04,1,10-05-2022,J000826,4,10.04,12,241,269.92,11-Jun-21
ARISTOZYME SYP 200ml,104,74.29,1,10-07-2022,CPB21039,4,2.97,12,71.32,79.88,11-Jun-21
VOLINI GEL 75GM,230,164.29,1,10-08-2022,AB52430,4,6.57,12,157.72,176.64,11-Jun-21
DOMSTAL 10 DT TAB,40.2,28.71,3,10-04-2023,2KC1C002,2,1.72,12,84.41,94.53,11-Jun-21
BROZEET-LS SYP 100ml,104.6,74.71,1,01-10-2022,EH0269041,2,1.49,12,73.22,82,11-Jun-21
FEFOL-Z CAP 15 S,172.3,123.07,1,10-08-2022,M180,2,2.46,12,120.61,135.09,11-Jun-21
SPORIDEX 125 DT TAB 10 S,82,58.57,1,11-02-2022,DFB0682A,2,1.17,12,57.4,64.28,11-Jun-21
ETOSHINE-MR TAB 10 S BOX,230,164.29,1,10-03-2023,SIC1103A,5,8.21,12,156.08,174.8,11-Jun-21
FORACORT 200 INHALER,358.75,256.26,2,11-02-2023,SN10256,5,25.63,12,486.89,545.31,11-Jun-21
GEMCAL CAP 15 S,300,214.29,2,10-07-2022,GMC-20101,5,21.43,12,407.15,456.01,11-Jun-21
LANTUS SOLOSTER 100IU 3ML,1099.11,879.29,1,10-07-2023,OF7349A,5,43.96,5,835.33,877.09,11-Jun-21
LATOPROST (RT)DROP 2.5 ML,625,476.19,1,10-02-2023,GTC0381A,5,23.81,5,452.38,475,11-Jun-21
LONAZEP MD 0.5mg 10 SF,34.64,24.74,3,11-02-2022,SIC0203A,5,3.71,12,70.51,78.97,11-Jun-21
REVELOL-AM 25/5 10TAB,95.75,68.39,1,10-06-2023,CGK081001AS,5,3.42,12,64.97,72.77,11-Jun-21
ROZAVEL 10MG 10 SA,177,126.43,1,10-06-2023,SIC0271A,5,6.32,12,120.11,134.53,11-Jun-21
ROSEDAY GOLD 20 CAP,209,149.29,2,10-06-2022,21S2GCA01,4,11.94,12,286.64,321.04,11-Jun-21
CARVISTAR-6.25 TAB 10 SA,38.6,27.57,4,11-02-2022,COB21001,4,4.41,12,105.87,118.57,11-Jun-21
LOSIUM - H 30 S,261.4,186.71,1,10-03-2023,JKDM21002,4,7.47,12,179.24,200.74,11-Jun-21
REPACE-50 TAB 10 S,72,51.43,2,01-10-2023,RPB0025A,4,4.11,12,98.75,110.61,11-Jun-21
IMDUR 30MG TAB 30 S,156.6,117.45,1,11-02-2023,ITY001,4,4.7,12,112.75,126.29,11-Jun-21
GLYCOMET 500MG TAB 10 S,16.8,12,5,10-01-2024,560004952,4,2.4,12,57.6,64.52,11-Jun-21
ATIVAN 2MG TAB,82.55,63.54,1,10-01-2023,EP524B,3,1.91,12,61.63,69.03,11-Jun-21
GLIMY-4mg TAB 10 SBY,162,115.71,2,10-05-2023,G21GYD001,3,6.94,12,224.48,251.42,11-Jun-21
RISDONE PLUS 10TAB,65,46.43,5,10-04-2024,N2101370,3,6.96,12,225.19,252.21,11-Jun-21
XYZAL 5 MG TAB 15 S,149.5,106.79,1,01-10-2022,E2000501,3,3.2,12,103.59,116.03,11-Jun-21
DIVAA-OD 500 TAB 10 SF,138,98.57,2,10-03-2023,N2100948,3,5.91,12,191.23,214.17,11-Jun-21
PANIDO-20 TAB 10 S,45.35,32.39,1,10-03-2022,14P20T01,3,0.97,12,31.42,35.2,11-Jun-21
OLEANZ-5mg TAB 10 SF,47,33.57,2,10-02-2024,SIC0843A,3,2.01,12,65.13,72.95,11-Jun-21
EFNOCAR-40 TAB 10 S,120,85.71,2,10-01-2023,Z05CW21005,2,3.43,12,167.99,188.15,11-Jun-21
DUZELA-20 CAP 10 SB,105,75,1,01-10-2022,SIC0474A,2,1.5,12,73.5,82.32,11-Jun-21
MIRTAZ- 7.5 MG TAB 10 SBY,85,60.71,1,10-01-2023,SIC0517A,2,1.21,12,59.5,66.64,11-Jun-21
PAUSE 500mg TAB 10 SA,181.81,138.52,4,11-01-2024,ELF4AB0002,2,11.08,5,543,570.16,11-Jun-21
MONTAIR-4 TAB,166.37,118.84,1,11-01-2021,SNO1777,2,2.38,12,116.46,130.44,11-Jun-21
ALDO-AT 50 TAB 10 S,43.85,31.32,2,01-10-2023,16A20T04,2,1.25,12,61.39,68.75,11-Jun-21
ZOMELIS MET 1000 TAB,150,107.14,2,10-01-2023,GZMG21003,2,4.29,12,209.99,235.19,11-Jun-21
ZOMELIS MET 50/500 TAB,135,96.43,2,10-07-2022,GZME21004,2,3.86,12,189,211.68,11-Jun-21
ADVASTAT CV 10 TAB,159,113.57,1,10-01-2023,POZBD07,2,2.27,12,111.3,124.66,11-Jun-21
CORECTIA M TAB,195,139.29,1,10-01-2023,CMTP21001,2,2.79,12,136.5,152.88,11-Jun-21
NOVOFINE NEEDLE 0.25X6MM,15.1,11.86,10,10-07-2025,20H04X,2,2.37,12,116.23,130.17,11-Jun-21
SENSODENT KF(L) 100GM,117,83.57,6,10-01-2025,SAD3BC4,2,10.03,12,491.39,550.35,11-Jun-21
GLYCIPHAGE PG2 TAB,181.3,129.5,3,10-01-2023,IA21005,2,7.77,12,380.73,426.41,11-Jun-21
TORGLIP 50TAB,53.85,38.46,2,10-01-2023,2KK2H003,2,1.54,12,75.38,84.42,11-Jun-21
TIDE-5 TAB 10 SBOX,33.4,23.86,3,11-02-2022,2932H001,2,1.43,12,70.15,78.57,11-Jun-21
DOMSTAL 10 TAB 10 S,26.8,19.14,3,10-01-2024,2CG1H002,2,1.15,12,56.27,63.03,11-Jun-21
SATROGYL-300mg TAB 10 SBY,142.5,101.79,1,10-02-2023,204060M,2,2.04,12,99.75,111.73,11-Jun-21
CHEERIO T. PASTE 75GM,119.75,85.54,1,10-01-2022,Z10063,2,1.71,12,83.83,93.89,11-Jun-21
SAAZ TAB 10 BOX,62,44.29,2,10-01-2024,ECL071003AS,2,1.77,12,86.81,97.23,11-Jun-21
TRIGLIMILIFE-1 TAB,179,127.86,1,10-06-2023,AT2007055,2,2.56,12,125.3,140.34,11-Jun-21
ZOLE- F LOTION 15ML,55,39.29,1,01-10-2023,PSX0183,2,0.79,12,38.5,43.12,11-Jun-21
STORVAS 10 TAB 15 S,92.34,65.96,5,10-06-2023,SIC0680A,2,6.6,12,323.2,361.98,11-Jun-21
MAXGALIN M-ER 75 10 SBM,156,111.43,1,10-07-2023,GKC0220A,2,2.23,12,109.2,122.3,11-Jun-21
VOLIBO 0.2 TAB 10 SA,101,72.14,2,10-06-2023,SIC0186A,2,2.89,12,141.39,158.35,11-Jun-21
PANTOCID 40 TAB,159,113.57,3,10-01-2024,SIC0520A,2,6.81,12,333.9,373.96,11-Jun-21
AMLOKIND-5 TAB 10 S,13.27,9.48,10,11-01-2023,BOIAT191,2,1.9,12,92.9,104.04,11-Jun-21
ZERODOL-PT TAB 10 S,122.3,87.36,1,11-01-2022,21020391,2,1.75,12,85.61,95.89,11-Jun-21
MACSART-40 10TAB,28.68,20.49,1,10-01-2023,KMM21003B,2,0.41,12,20.08,22.48,11-Jun-21
DERMADEW BACT SOAP 75 GM,179,121.36,1,10-01-2024,B163,2,2.43,18,118.93,140.33,11-Jun-21
CYRA-LS TAB 10 SA,108,77.14,2,11-01-2022,SCL052,2,3.09,12,151.19,169.33,11-Jun-21
THROMBOPHOB GEL 20GM,156,111.43,7,10-03-2024,1101758,2,15.6,12,764.41,856.13,11-Jun-21
PAN-D CAP 15 S,190,135.71,10,10-03-2023,2144130,2,27.14,12,1329.96,1489.56,11-Jun-21
PRAZOPRESS XL 5 TAB 30 S,415,296.43,2,10-01-2023,GTC0305A,2,11.86,12,581,650.72,11-Jun-21
MONTEK-10mg TAB 10 SF,198,141.43,1,10-09-2022,ESX1810,2,2.83,12,138.6,155.24,11-Jun-21
PROLOMET R 50 TAB 10 SF,237,169.29,1,11-02-2022,GKB0360A,2,3.39,12,165.9,185.8,11-Jun-21
BETADINE LOTION 100ML,104.16,78.12,2,10-01-2023,PB0590,2,3.12,12,153.12,171.5,11-Jun-21
LIPICURE-20 15 S,222.6,159,1,11-02-2023,K2100034,2,3.18,12,155.82,174.52,11-Jun-21
DIZIRON TAB,140,100,1,01-10-2023,18201009,2,2,12,98,109.76,11-Jun-21
STATPURE 10 TAB,138,98.57,1,11-02-2022,9FABU002,2,1.97,12,96.6,108.2,11-Jun-21
VENLA XR 37.5MG 10 S,43.56,31.11,2,11-02-2022,GVNA21001,2,1.24,12,60.98,68.3,11-Jun-21
MET XL R 50/5 TAB,326,232.86,1,10-09-2022,CR0110J,2,4.66,12,228.2,255.58,11-Jun-21
NATUROLAX POWDER 300GM,299,224.24,1,11-01-2022,NYTA462,2,4.48,12,219.76,246.14,11-Jun-21
NEXPRO RD 40 CAP 10 SF,154.45,110.32,1,01-10-2022,RF1320121,2,2.21,12,108.11,121.09,11-Jun-21
DICLOGESIC TAB 10 SBW,45.8,32.71,2,10-04-2022,2BC3G008,2,1.31,12,64.11,71.81,11-Jun-21
ALKASOL SYP 200ML,179.12,127.96,1,10-02-2024,C21L11529,4,5.12,12,122.84,137.58,11-Jun-21
ROSULESS-C 10 TAB,99,70.71,3,10-08-2022,GB850002,4,8.49,12,203.64,228.08,11-Jun-21
FOLCURE-5 TAB 10 S,141.9,101.36,2,10-09-2022,21S2GTB048,4,8.11,12,194.61,217.97,11-Jun-21
KLEAN TEARS 5ML,113,80.71,1,10-02-2023,SDK103059,4,3.23,12,77.48,86.78,11-Jun-21
VITAL I. S. G. CAP,100,62.5,1,10-04-2022,IF20-0538,4,2.5,18,60,70.8,11-Jun-21
PEG NT TAB,263.9,188.5,1,10-02-2023,PLJRAM31,4,7.54,12,180.96,202.68,11-Jun-21
NORMAXIN TAB 10 SBB,23,16.43,3,10-01-2024,NX34021,4,1.97,12,47.32,53,11-Jun-21
DOMSTAL 10 DT TAB,40.2,28.71,2,10-09-2023,2KASG004,4,2.3,12,55.12,61.74,11-Jun-21
PROTERA TAB,170.85,128.11,1,10-03-2023,141TPT068,4,5.12,12,122.99,137.75,11-Jun-21
GTN SORBITRATE-CR 2.6 30 S,207.86,148.47,1,11-02-2022,TRG0003,4,5.94,12,142.53,159.63,11-Jun-21
BECOSULES Z CAP,41.79,31.34,6,10-09-2022,2130054N,4,7.52,12,180.52,202.18,11-Jun-21
TAZLOC-AM 80 TAB,188,134.29,3,10-02-2023,TAM210301,4,16.11,12,386.76,433.18,11-Jun-21
SFT GEL 200ML,152.28,108.78,1,10-05-2022,SUL002,0,0,12,108.78,121.84,11-Jun-21
MUCAINE GEL(MINT) 200ML,182.97,130.69,1,10-02-2024,212021SE,0,0,12,130.69,146.37,11-Jun-21
RANTAC SYP 100ML,80.64,57.6,1,10-09-2022,XRS21027,0,0,12,57.6,64.52,11-Jun-21
DYTOR-5 TAB 15 SBW,53.9,38.5,3,10-02-2024,SN10387,0,0,12,115.5,129.36,11-Jun-21
RANCIL 5 TAB 10 S,65,46.43,2,10-03-2023,PXY0021,0,0,12,92.86,104,11-Jun-21
PEGCLEAR SYO 200ML,305.9,218.5,1,10-07-2022,A20024MA,0,0,12,218.5,244.72,11-Jun-21
CREMAFIN PLUS LIQ. 225ML,223.75,159.82,1,10-02-2024,270560D7,0,0,12,159.82,179,11-Jun-21
BEVON CAP 15 S,120.75,86.25,2.5,10-02-2023,521C221,0,0,12,215.63,241.51,11-Jun-21
CALONAT-D3 TAB 15 SBOX,224,160,1,10-09-2022,E16BL20026,0,0,12,160,179.2,11-Jun-21
TEMSAN 40MG TAB 15 S,55.19,39.42,1,10-01-2023,FLR6AB0017,0,0,12,39.42,44.16,11-Jun-21
VOLINI SPRAY 40GM,140,100,5.5,10-02-2023,XDY0039,0,0,12,550,616,11-Jun-21
STORVAS-CV 10 TAB 10 S,155,110.71,1,11-01-2022,BFX0048,0,0,12,110.71,123.99,11-Jun-21
ASOMEX-5 TAB 15 S,142.15,101.54,2,10-04-2024,E16AQ20021,0,0,12,203.08,227.44,11-Jun-21
ATORMAC CV 10 TAB 10 SF,184.8,132,2,11-02-2022,21S2GCA029,0,0,12,264,295.68,11-Jun-21
GLIZID-M TAB 15 SBW,152.96,109.26,4,11-02-2023,OB320077,0,0,12,437.04,489.48,11-Jun-21
REKOOL D CAP 15 SF,240.6,171.86,1,10-03-2023,2108000468,0,0,12,171.86,192.48,11-Jun-21
PAUSE 500mg TAB 10 SA,181.81,138.52,1,10-02-2023,E16GQ21003,0,0,5,138.52,145.44,11-Jun-21
STORVAS CV 20MG TAB 10 S,224,160,1,10-01-2023,RFY0004,0,0,12,160,179.2,11-Jun-21
ROSUMAC GOLD 20 TAB,304,217.15,1,10-05-2022,20S2GCA531,0,0,12,217.15,243.21,11-Jun-21
CORALIUM-D3 TAB 10 SBOX,148.3,105.93,2.5,10-01-2023,Z05DL21013,0,0,12,264.83,296.61,11-Jun-21
FULL- 24 TAB 10 S BOX,239,162.03,1,10-04-2022,EPH2AA0001,0,0,18,162.03,191.19,11-Jun-21
QUTIPIN 25MG 10 S,54,38.57,1,10-07-2023,GTC0234A,2,0.77,12,37.8,42.34,11-Jun-21
NEXOVAS 10 TAB,155.1,110.78,1,10-02-2023,TNA21004A,2,2.22,12,108.56,121.58,11-Jun-21
LACTOGEN (2) 450GM,340,264.34,1,,0,0,0,18,264.34,311.92,11-Jun-21
NESTUM S-3 (RICE-FRUIT),190,147.72,1,,0,0,0,18,147.72,174.3,11-Jun-21
CERELAC S-2(RICE-VEG) 300GM,235,182.71,3,,0,0,0,18,548.13,646.79,11-Jun-21
CEREGROW BIB 300GM,292,227.03,1,,0,0,0,18,227.03,267.89,11-Jun-21
CERELAC S-3(W/R/M/FRUIT),261,202.92,2,,0,0,0,18,405.84,478.9,11-Jun-21
CERELAC S-3(W/R/M/FRUIT),261,202.92,2,,0,0,0,18,405.84,478.9,11-Jun-21
NAN PRO (2) 300GM,640,497.59,1,,0,0,0,18,497.59,587.15,11-Jun-21
VOLITRA-ENZO TAB 10 S,170,121.43,2,01-10-2021,RFX0015,1.96,4.76,12,238.1,266.68,11-Jun-21
BRAVITIM ZL SYP 200ML,151.25,102.55,1,10-06-2022,FLI21027,1.96,2.01,18,100.54,118.64,11-Jun-21
BECOSULES SYP 120ML,33.54,25.15,2,11-01-2021,2031047K,1.96,1.06,12,53.24,59.62,11-Jun-21
RENALKA SYP 200ML,125,85.95,1,11-02-2023,252100073,1.96,1.68,12,84.27,94.39,11-Jun-21
REXIDIN M FORTE GEL 15GM,69,49.29,1,10-02-2023,RDD3CC2V,1.96,0.97,12,48.32,54.12,11-Jun-21
Q GOLD-F TAB,324,231.43,2,10-09-2022,QGFP21001,1.96,9.07,12,453.79,508.25,11-Jun-21
