Item Name,Item MRP,Quantity,Expiry Date,Discount Value,GST %,GST Value,Amount,Billing Date
ZEST D3 NANO SHOT 5ML,65,6,"July, 2022",0,12,41.78,390,07-Jul-21
P2 I-40 TAB 10 SA,119.95,6,"February, 2022",0,12,77.12,719.7,07-Jul-21
BIO D3 XT TAB,324,4,"February, 2022",0,12,138.86,1296,07-Jul-21
B. PROTIN CHOCOLATE 500GM,525,2,"May, 2023",0,18,160.16,1050,07-Jul-21
PROTEKT CAP 10 S,50,6,"April, 2022",0,12,32.14,300,07-Jul-21
VOLITRA-ENZO TAB 10 S,170,1,"October, 2021",0,12,18.22,170,07-Jul-21
ONASOLONE-4 TAB,60,0.5,"October, 2022",0,12,3.22,30,07-Jul-21
DORFREE MR 8 TAB,318.95,1,"January, 2022",0,12,34.18,318.95,07-Jul-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,07-Jul-21
PROTEKT CAP 10 S,50,1,"April, 2022",0,12,5.36,50,07-Jul-21
ESOZ-40MG TAB 15 SA,167.5,1,"January, 2023",0,12,17.94,167.5,07-Jul-21
ETIZOLA 0.5 TAB,88.5,1,"March, 2024",0,12,9.48,88.5,07-Jul-21
SNORAB 20 TAB 10 SA,65,0.6,"June, 2022",0,12,4.18,39,07-Jul-21
MAXTRA DROP 15ML,75.8,1,"February, 2023",7.58,12,7.3,68.22,07-Jul-21
NITROCONTIN 2.6MG 25 S,257,1,"October, 2022",25.7,12,24.78,231.3,07-Jul-21
AMLOKIND- AT TAB 10 S,27.5,2,"January, 2022",5.5,12,5.3,49.5,07-Jul-21
FAMOCID 40MG TAB 14 S,8,1,"September, 2023",0.8,12,0.78,7.2,07-Jul-21
NUROKIND PLUS TAB 10 SA,99.9,1,"July, 2022",9.99,12,9.64,89.91,07-Jul-21
TAXIM O FORTE SYP 60ML,125,1,"January, 2022",12.5,12,12.06,112.5,07-Jul-21
ZOFER SYP 30ML,37.34,1,"August, 2022",3.73,12,3.6,33.61,07-Jul-21
RANTAC SYP 100ML,80.64,1,"September, 2022",8.06,12,7.78,72.58,07-Jul-21
RANCIL 10MG TAB 10 S,99.5,1,"October, 2022",9.95,12,9.6,89.55,07-Jul-21
TELEACT-D TAB 10 SA,145,1,"February, 2022",14.5,12,13.98,130.5,07-Jul-21
GEMER-4 TAB,114.5,1,"February, 2023",11.45,12,11.04,103.05,07-Jul-21
TREXJOY CREAM 20GM,325,1,"January, 2022",32.5,5,13.92,292.5,07-Jul-21
FOLITRAX 5MG 10 S,87.68,0.4,"January, 2024",3.51,5,1.5,31.56,07-Jul-21
ATARAX 10MG TAB 15 S,39.6,1.333,"January, 2023",5.28,12,5.1,47.52,07-Jul-21
SIRUS 300 GMS,595,1,"February, 2021",0,12,63.76,595,07-Jul-21
EVION-400MG CAP 10 S,32.7,3,"June, 2023",0,12,10.52,98.1,07-Jul-21
CARTIGEN-FORTE TAB 10 BOX,409,3,"January, 2023",0,18,187.16,1227,07-Jul-21
DUOLIN CFC FREE INHALER 200MD,310.12,1,"March, 2023",31.01,12,29.9,279.11,07-Jul-21
PENTISAN-DSR CAP,95,6,"January, 2021",0,12,61.08,570,07-Jul-21
ONASOLONE-4 TAB,60,3,"October, 2022",0,12,19.28,180,07-Jul-21
ZYLORIC 100MG TAB 10 S,21.15,6,"February, 2023",0,12,13.6,126.9,07-Jul-21
EVION-400MG CAP 10 S,32.7,6,"June, 2023",0,12,21.02,196.2,07-Jul-21
LIMCEE TAB 15 S,23.05,1,"October, 2022",2.31,12,2.22,20.74,07-Jul-21
KENACORT 4 TAB,120.63,0.667,"March, 2023",0,12,8.62,80.42,07-Jul-21
DORFREE MR 8 TAB,290.1,2,"April, 2022",0,12,62.16,580.2,07-Jul-21
PROTEKT CAP 10 S,50,1,"April, 2022",0,12,5.36,50,07-Jul-21
VOLITRA PLUS GEL 50GM,212,1,"January, 2023",0,12,22.72,212,07-Jul-21
NEXONAC-SP TAB,89.54,1,"September, 2022",0,12,9.6,89.54,07-Jul-21
PROTEKT CAP 10 S,50,1,"April, 2022",0,12,5.36,50,07-Jul-21
CALPOL 650 TAB 15 S,30.91,1,"April, 2024",3.09,12,2.98,27.82,07-Jul-21
CEPODEM XP 325 10 S BOX,357,2,"September, 2022",71.4,12,68.84,642.6,07-Jul-21
IVERMETROL-12 TAB,85,2.5,"March, 2023",21.25,12,20.5,191.25,07-Jul-21
PANTOCID 40 TAB,159,1.333,"January, 2024",21.2,12,20.44,190.8,07-Jul-21
CEDRIN-GM TAB,150,1.5,"May, 2022",0,12,24.1,225,07-Jul-21
PENTISAN-DSR CAP,95,1.5,"January, 2021",0,12,15.26,142.5,07-Jul-21
ETOSA-P TAB,63,1.5,"October, 2022",0,12,10.12,94.5,07-Jul-21
ONASOLONE-4 TAB,60,1,"October, 2022",0,12,6.42,60,07-Jul-21
STAMLO 2.5MG TAB 30 S,55.52,1,"March, 2024",0,12,5.94,55.52,07-Jul-21
PANTA-40 TAB***,115,1,"July, 2022",11.5,12,11.08,103.5,07-Jul-21
FLUNARIN-5MG TAB 10 S,23.05,1,"February, 2023",2.31,12,2.22,20.74,07-Jul-21
QUTAN - 100 MG 1X10 S,100.5,1,"February, 2022",10.05,12,9.7,90.45,07-Jul-21
BUPRON SR 150 TAB 10 S,130.5,1,"September, 2022",13.05,12,12.58,117.45,07-Jul-21
NEXITO 10 TAB 10 SBY,90.49,2,"January, 2024",18.1,12,17.46,162.88,07-Jul-21
CEDRIN-GM TAB,150,1,"May, 2022",0,12,16.08,150,07-Jul-21
ETOSA-P TAB,63,1,"October, 2022",0,12,6.76,63,07-Jul-21
ONASOLONE-4 TAB,60,1,"October, 2022",0,12,6.42,60,07-Jul-21
S-ONAZOLE-DSR CAP,87,1,"April, 2022",0,12,9.32,87,07-Jul-21
EVION-400MG CAP 10 S,32.7,1,"June, 2023",0,12,3.5,32.7,07-Jul-21
ONASOLONE-4 TAB,60,1,"October, 2022",0,12,6.42,60,07-Jul-21
S-ONAZOLE-DSR CAP,87,2,"April, 2022",0,12,18.64,174,07-Jul-21
TOTAL TAB,139,1,"May, 2022",13.9,18,19.08,125.1,07-Jul-21
RAB - D CAP 10 SA,84.56,1,"February, 2023",8.46,12,8.16,76.1,07-Jul-21
MOX CLAV 625MG 10 S,200.59,1.5,"January, 2023",30.09,12,29.02,270.8,07-Jul-21
GLYNASE TAB 10 S,7.38,10,"July, 2023",7.38,12,7.12,66.42,07-Jul-21
ROZAVEL 5MG 10 S TAB,99,2,"June, 2023",19.8,12,19.1,178.2,07-Jul-21
TENELIVIO MF 500 TAB 10 S,115.5,2,"October, 2022",23.1,12,22.28,207.9,07-Jul-21
VERTIN 16 TAB 15 S,268.89,1,"February, 2024",26.89,12,25.92,242,07-Jul-21
LEVOLIN SYP 100ML,22.02,1,"May, 2022",2.2,12,2.12,19.82,07-Jul-21
MONTAIR-LC TAB,278.06,0.667,"March, 2023",18.54,12,17.88,166.83,07-Jul-21
POLYBION-SF 400ML,150.79,1,"August, 2022",15.08,12,14.54,135.71,07-Jul-21
CEPODEM XP 325 10 S BOX,357,1,"September, 2022",35.7,12,34.42,321.3,07-Jul-21
PARASAFE-650 TAB 10 SBOX,20.61,1,"March, 2024",2.06,12,1.98,18.55,07-Jul-21
UGESIC-20 TAB 10 S,126,1,"February, 2023",12.6,12,12.16,113.4,07-Jul-21
FAMOCID 40MG TAB 14 S,8,2.143,"September, 2023",1.71,12,1.66,15.43,07-Jul-21
MONTAIR-FX TAB 10 SF,202.31,0.2,"September, 2022",4.05,12,3.9,36.41,07-Jul-21
DUOLIN CFC FREE INHALER 200MD,310.12,1,"March, 2023",31.01,12,29.9,279.11,07-Jul-21
MAXPRESS XL 25 TAB,43,1,"February, 2022",4.3,12,4.14,38.7,07-Jul-21
NICENTA PLUS TAB 10 S,95,1,"January, 2023",9.5,12,9.16,85.5,07-Jul-21
CALDUX-CT TAB,85,1,"January, 2022",8.5,12,8.2,76.5,07-Jul-21
OMEZ 20MG CAP 20 S,55.52,1,"January, 2023",5.55,12,5.36,49.97,07-Jul-21
PACIMOL ACTIVE TAB,31.85,1,"March, 2023",3.19,12,3.08,28.66,07-Jul-21
GRENIL TAB 10 S,46.5,1,"February, 2023",4.65,12,4.48,41.85,07-Jul-21
BROZEDEX PRT SYP 100ML,118,1,"January, 2022",11.8,12,11.38,106.2,07-Jul-21
KETO SOAP 50GM,105,1,"July, 2023",4.2,18,15.38,100.8,07-Jul-21
I-WIN 200 TAB,279,1,"February, 2022",27.9,12,26.9,251.1,07-Jul-21
ATARAX 25MG TAB 15 S,70.75,1,"January, 2024",7.08,12,6.82,63.67,07-Jul-21
CYRA-LS TAB 10 SA,108,1,"January, 2022",10.8,12,10.42,97.2,07-Jul-21
ESPRA-40 TAB 10 S,74.5,1,"January, 2022",7.45,12,7.18,67.05,07-Jul-21
OLMEDOX 40 TAB,109.33,1,"March, 2023",10.93,12,10.54,98.4,07-Jul-21
RIFAGUT 400 TAB 10 SF,335,1.5,"October, 2023",50.25,12,48.46,452.25,07-Jul-21
DROTIN DS TAB 15 S,185.5,0.333,"February, 2023",6.18,12,5.96,55.65,07-Jul-21
B. D. INSULIN SYRINGE,8.9,1,"February, 2024",0,12,0.96,8.9,07-Jul-21
GLYCOMET-GP-1 TAB 15 S,106,2,"February, 2023",21.2,12,20.44,190.8,07-Jul-21
TRIMACSART,130.35,1,"February, 2023",13.04,12,12.56,117.31,07-Jul-21
RANTAC DOM TAB,50.51,1,"August, 2022",5.05,12,4.88,45.46,07-Jul-21
YEES-D CAPS 10 S,107,1,"March, 2023",10.7,12,10.32,96.3,07-Jul-21
IVERAG-12 TAB,300,2.4,"March, 2024",72,12,69.42,648,07-Jul-21
TIMOLET OD DROP 3ML,39.89,1,"January, 2023",3.99,12,3.84,35.9,07-Jul-21
GLITARAY M-2 TAB,139,2,"January, 2022",27.8,12,26.8,250.2,07-Jul-21
SURBEX-XT TAB 15 S,119.06,1,"February, 2022",11.91,12,11.48,107.15,07-Jul-21
T-LET 40 TAB,101.25,1,"August, 2022",10.13,12,9.76,91.12,07-Jul-21
AMTAS-5 TAB 30 S,87.36,1,"March, 2023",8.74,12,8.42,78.62,07-Jul-21
GALVUSMET 50/1000 TAB,318,1,"January, 2021",31.8,12,30.66,286.2,07-Jul-21
EUREPA V 0.5/0.3 TAB,140.7,1,"February, 2023",14.07,12,13.56,126.63,07-Jul-21
ZU-C500 TAB,80,1,"October, 2022",8,12,7.72,72,07-Jul-21
CEPODEM-200mg TAB 10 SF,167,1,"July, 2022",16.7,12,16.1,150.3,07-Jul-21
DROTIN-PLUS TAB 10 SBY,152.86,0.4,"January, 2023",6.11,12,5.9,55.03,07-Jul-21
CEDRIN-GM TAB,150,2,"May, 2022",0,12,32.14,300,07-Jul-21
LYCAM-P TAB,79,2,"September, 2022",0,12,16.92,158,07-Jul-21
FEBUMAC-40 TAB 10 S BOX,130,2,"February, 2024",0,12,27.86,260,07-Jul-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,07-Jul-21
PROTEKT CAP 10 S,50,2,"April, 2022",0,12,10.72,100,07-Jul-21
OROFER XT TAB 10 S,156.9,1,"April, 2023",15.69,12,15.12,141.21,07-Jul-21
ZUKANORM M 500 TAB,67.5,2,"January, 2023",13.5,12,13.02,121.5,07-Jul-21
CILACAR T 80 TAB 10 S,168.07,1,"January, 2023",16.81,12,16.2,151.26,07-Jul-21
NATRILIX-SR TAB 10 SA,109,1,"January, 2023",10.9,12,10.52,98.1,07-Jul-21
GABANTIN FORTE TAB 10SF,189,2,"January, 2023",37.8,12,36.46,340.2,07-Jul-21
CORALIUM-D3 TAB 10 SBOX,148.3,1,"April, 2022",14.83,12,14.3,133.47,07-Jul-21
ANCOOL SYP 170ML,115.45,1,"February, 2021",11.55,12,11.14,103.9,07-Jul-21
DROTIN-PLUS TAB 10 SBY,152.86,0.4,"January, 2023",6.11,12,5.9,55.03,07-Jul-21
DEVIRY 10MG TAB 10 S,59.95,1,"September, 2023",6,12,5.78,53.95,07-Jul-21
NUPENTA-40 TAB 10 SA,50,1,"February, 2023",5,12,4.82,45,07-Jul-21
TELPRES 40 TAB,110.36,2,"July, 2022",22.07,12,21.28,198.65,07-Jul-21
MOOV OINT 15GM,65,1,"September, 2022",0,12,6.96,65,07-Jul-21
OMEZ- DSR CAP 15 S,169.25,2,"February, 2022",33.85,12,32.64,304.65,07-Jul-21
PARASAFE 1000 TAB 10 S,42.55,1,"January, 2023",4.26,12,4.1,38.29,07-Jul-21
ETOSHINE-MR TAB 10 S BOX,230,1,"March, 2023",23,12,22.18,207,07-Jul-21
MOXOVAS 0.3MG 10S,106,2,"February, 2023",21.2,12,20.44,190.8,07-Jul-21
PROLOMET XL 50 TAB 10 S,64.36,2,"February, 2023",12.87,12,12.42,115.85,07-Jul-21
TONOFERON DROP 15ML,78,2,"March, 2022",15.6,12,15.04,140.4,07-Jul-21
LACTOGEN (2) 450GM,340,1,,13.6,18,49.78,326.4,07-Jul-21
KETO GOLD PREMIUM 100GM,220,1,"January, 2022",8.8,18,32.22,211.2,07-Jul-21
PAN-40MG TAB 15 S,149,0.667,"September, 2023",9.93,12,9.58,89.4,07-Jul-21
ORS (ORANGE) 21GM,20,6,"January, 2022",0,5,5.72,120,07-Jul-21
CODESOFT CAP 10 SBG,260,1,"May, 2022",26,12,25.08,234,07-Jul-21
PAN-40MG TAB 15 S,149,2,"September, 2023",29.8,12,28.74,268.2,07-Jul-21
IMDUR 30MG TAB 30 S,156.6,1,"February, 2023",15.66,12,15.1,140.94,07-Jul-21
ISABGOL(BAIDYA) 100GM,110,1,,4.4,5,5.02,105.6,07-Jul-21
RECLIMET XR FORTE TAB,217.5,1,"May, 2022",21.75,12,20.98,195.75,07-Jul-21
DULANE - 30 CAP 10 SB,149,2,"October, 2022",29.8,12,28.74,268.2,07-Jul-21
JALRA OD 100 MG TAB,180,1,"February, 2023",18,12,17.36,162,07-Jul-21
TAZLOC BETA 50 TAB 10 S,157.75,2,"June, 2022",31.55,12,30.42,283.95,07-Jul-21
AUTRIN CAP 30 S,136.21,1,"March, 2022",13.62,12,13.14,122.59,07-Jul-21
GLUCONORM-G 4 FORTE 15 S,206.1,1,"February, 2023",20.61,12,19.88,185.49,07-Jul-21
DYNAGLIPT TAB 10 S,71.5,2,"February, 2022",14.3,12,13.78,128.7,07-Jul-21
STORVAS 10 TAB 15 S,92.34,1,"May, 2023",9.23,12,8.9,83.11,07-Jul-21
ALDACTONE-25mgTAB 15 SR,31.8,1,"April, 2023",3.18,12,3.06,28.62,07-Jul-21
ARKAMIN TAB 30 S,60.1,2,"August, 2023",12.02,12,11.6,108.18,07-Jul-21
VISCOSIN LS SYP 100ML,87,1,"January, 2022",8.7,12,8.38,78.3,07-Jul-21
LOXOF 500 TAB 10 SB,90.48,0.5,"March, 2023",4.52,12,4.36,40.72,07-Jul-21
DYTOR PLUS LS TAB,51.72,1,"January, 2022",5.17,12,4.98,46.55,07-Jul-21
CALPOL 650 TAB 15 S,30.91,0.267,"April, 2024",0.82,12,0.8,7.42,07-Jul-21
ZERODOL-SP TAB 10 SA,97.85,0.4,"April, 2023",3.91,12,3.78,35.23,07-Jul-21
CARDIVAS-6.25MG TAB 10 S,59,1,"February, 2023",5.9,12,5.68,53.1,07-Jul-21
PUNCH-DSR CAP 10 S,110,1,"September, 2022",11,12,10.6,99,07-Jul-21
MONTEMED FX TAB 10 S,170,1,"August, 2022",17,12,16.4,153,07-Jul-21
SNOCEF 200 TAB,175.5,1,"February, 2021",17.55,12,16.92,157.95,07-Jul-21
AMBROLITE-S LIQ 100ML,89.5,1,"March, 2022",8.95,12,8.64,80.55,07-Jul-21
PANZEL-DSR,95,0.6,"July, 2022",5.7,12,5.5,51.3,08-Jul-21
AZIBIZ-500 TAB,71.71,1,"April, 2023",7.17,12,6.92,64.54,08-Jul-21
MULTI-VITAL SYP 200ML,120,1,"October, 2022",12,18,16.48,108,08-Jul-21
ZOFER MD 4mg TAB 10 S,52.61,0.2,"April, 2023",1.05,12,1.02,9.47,08-Jul-21
DICLOGESIC TAB 10 SBW,50.3,0.6,"October, 2022",3.02,12,2.92,27.16,08-Jul-21
PENTISAN-DSR CAP,95,6,"January, 2021",0,12,61.08,570,08-Jul-21
ETOSA-P TAB,63,1,"October, 2022",0,12,6.76,63,08-Jul-21
EVION-400MG CAP 10 S,32.7,6,"June, 2023",0,12,21.02,196.2,08-Jul-21
BIO D3 XT TAB,324,4,"February, 2022",0,12,138.86,1296,08-Jul-21
DEXORANGE SYP 200ML,145,1,"September, 2022",0,12,15.54,145,08-Jul-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,08-Jul-21
ADIRAB-DSR CAP,92,1,"February, 2022",0,12,9.86,92,08-Jul-21
FEBUGET 40 TAB,178.5,2,"July, 2023",0,12,38.26,357,08-Jul-21
ORANGE CS SYP 60ML,55,1,"January, 2022",5.5,12,5.3,49.5,08-Jul-21
ORANGE CS SYP 100ML,73,1,"June, 2022",7.3,12,7.04,65.7,08-Jul-21
MARLINE-E 400 SOFTGEL,104,1.4,"January, 2021",0,18,22.22,145.6,08-Jul-21
ONASOLONE-4 TAB,60,0.7,"October, 2022",0,12,4.5,42,08-Jul-21
ZYLORIC 100MG TAB 10 S,21.15,1.4,"February, 2023",0,12,3.18,29.61,08-Jul-21
LYCAM-P TAB,79,1.4,"September, 2022",0,12,11.84,110.6,08-Jul-21
PROTEKT CAP 10 S,50,1.4,"April, 2022",0,12,7.5,70,08-Jul-21
VOLITRA PLUS GEL 50GM,212,1,"January, 2023",0,12,22.72,212,08-Jul-21
TAYO 7K TAB,150,1,"February, 2021",15,12,14.46,135,08-Jul-21
ZEE GAS TAB 10 S,110,2,"May, 2022",22,12,21.22,198,08-Jul-21
IVEPRED-16 TAB 10 S,97.7,1,"October, 2022",9.77,12,9.42,87.93,08-Jul-21
GEMINOR 1MG TAB 10 SBW,40.05,5,"January, 2022",20.03,12,19.3,180.22,08-Jul-21
MACTOR-ASP-75 CAP 10 SF,40.5,3,"June, 2022",12.15,12,11.72,109.35,08-Jul-21
VILDAMAC 50 TAB,108,4,"February, 2023",43.2,12,41.66,388.8,08-Jul-21
TRINEXOVAS 20 TAB 10 S,142,3,"February, 2022",42.6,12,41.08,383.4,08-Jul-21
BOROLINE CREAM 21GM,38,1,,0,12,4.08,38,08-Jul-21
IODEX OINT. 16GM,80,1,,0,0,0,80,08-Jul-21
PROLOMET XL 50 TAB 10 S,64.7,2,"March, 2023",12.94,12,12.48,116.46,08-Jul-21
PROLOMET XL 25 TAB 10 S,45,3,"July, 2022",13.5,12,13.02,121.5,08-Jul-21
NICARDIA-RETARD 20 15 S,53.01,2,"January, 2023",10.6,12,10.22,95.42,08-Jul-21
ZANOCIN-OZ TAB 10 SBO,153,1,"January, 2023",15.3,12,14.76,137.7,08-Jul-21
WALYTE SACHET 4.2GM,4.09,5,"March, 2024",2.04,5,0.88,18.41,08-Jul-21
BENFOMET FORTE TAB 10 S,240,1,"September, 2021",24,12,23.14,216,08-Jul-21
BETACAP PLUS 10 10 SF,140,1,"July, 2022",14,12,13.5,126,08-Jul-21
NEXPRO-40 TAB 15 SA,150.1,1,"January, 2022",15.01,12,14.48,135.09,08-Jul-21
EVION-400MG CAP 10 S,32.7,3,"June, 2023",0,12,10.52,98.1,08-Jul-21
BIO D3 XT TAB,324,2,"August, 2022",0,12,69.42,648,08-Jul-21
B. PROTIN CHOCOLATE 500GM,525,1,"May, 2023",0,18,80.08,525,08-Jul-21
PROTEKT CAP 10 S,50,3,"April, 2022",0,12,16.08,150,08-Jul-21
S-ONAZOLE-DSR CAP,87,2,"April, 2022",0,12,18.64,174,08-Jul-21
STAMLO 2.5MG TAB 30 S,55.23,1,"January, 2024",0,12,5.92,55.23,08-Jul-21
COECORTT-6 TAB,126,2,"January, 2023",0,12,27,252,08-Jul-21
CALPOL 500 TAB 15 S,14.96,0.267,"June, 2023",0.4,12,0.38,3.59,08-Jul-21
SINAREST NEW TAB 10 S,55.73,0.4,"October, 2023",2.23,12,2.14,20.06,08-Jul-21
FORACORT 200 R/C 30 S,168.67,1,"March, 2022",16.87,12,16.26,151.8,08-Jul-21
GEMER- 1 TAB 10 S,84.8,1,"January, 2023",8.48,12,8.18,76.32,08-Jul-21
ANAFORTAN TAB 15 SBG,113.24,0.267,"May, 2022",3.02,12,2.92,27.18,08-Jul-21
CERELAC S-2(RICE-VEG) 300GM,235,1,,9.4,18,34.42,225.6,08-Jul-21
HUCOG 10000HP IU INJ.,1289,1,"January, 2023",128.9,5,55.24,1160.1,08-Jul-21
DISPOVAN SYRINGE 2ML,4.5,4,"February, 2025",0,0,0,18,08-Jul-21
DISPOVAN SYRINGE 2ML,4.5,1,"February, 2025",0,0,0,4.5,08-Jul-21
PALOMA GRANULES 200GM,260,1,"February, 2022",10.4,18,38.08,249.6,08-Jul-21
CIFRAN-CTH TAB 10 S,72.5,0.6,"August, 2022",4.35,12,4.2,39.15,08-Jul-21
COLIMEX TAB 10 S,32.95,0.6,"February, 2023",1.98,12,1.9,17.79,08-Jul-21
JUST TEARS DROP 10ML,96.61,1,"March, 2023",9.66,12,9.32,86.95,08-Jul-21
TELMIKIND 80MG 10TAB,68.89,1,"September, 2022",6.89,12,6.64,62,08-Jul-21
TEAR-DROPS EYE DROP 10ML,143.32,1,"August, 2022",14.33,12,13.82,128.99,08-Jul-21
CAFRAGIN TAB 10 S,40,0.6,"January, 2026",2.4,12,2.32,21.6,08-Jul-21
FAMOCID 20MG TAB 14 s,4.5,0.429,"January, 2024",0.19,12,0.18,1.74,08-Jul-21
PIOZ-15 TAB 10 SB,57.42,1,"February, 2023",5.74,12,5.54,51.68,08-Jul-21
LONAZEP 0.5 TAB 15S,51.96,1,"August, 2023",5.2,12,5,46.76,08-Jul-21
RUBIRED TAB 10 S,119.5,1,"July, 2022",11.95,12,11.52,107.55,08-Jul-21
SUPRACAL TAB 15 SBW,165,1,"February, 2022",16.5,12,15.92,148.5,08-Jul-21
PENTIDS 400 TAB,18.15,1,"March, 2022",1.82,12,1.74,16.33,08-Jul-21
P-PPI-L CAP 10 S,114.5,2,"October, 2022",22.9,12,22.08,206.1,08-Jul-21
TELDAWN AM TAB 10 S,77,1,"January, 2023",7.7,12,7.42,69.3,08-Jul-21
TENSORIN-20 TAB,89,2,"February, 2023",17.8,12,17.16,160.2,08-Jul-21
PROLOMET XL 50 TAB 10 S,64.36,2,"January, 2023",12.87,12,12.42,115.85,08-Jul-21
TRIKA 0.25MG TAB 15 S,24.15,2,"April, 2023",4.83,12,4.66,43.47,08-Jul-21
SARIDON TAB 10 S,38.53,1,"February, 2024",3.85,12,3.72,34.68,08-Jul-21
DUZELA-20 CAP 10 SB,105,2,"October, 2022",21,12,20.26,189,08-Jul-21
ETOSA-P TAB,63,0.5,"October, 2022",0,12,3.38,31.5,08-Jul-21
S-ONAZOLE-DSR CAP,87,1,"April, 2022",0,12,9.32,87,08-Jul-21
ZYLORIC 100MG TAB 10 S,21.15,0.6,"February, 2023",0,12,1.36,12.69,08-Jul-21
CODESOFT- EPO CAP 15 S,373,1,"October, 2022",0,18,56.9,373,08-Jul-21
PREGNIDOXIN TAB,156.3,0.467,"August, 2022",7.29,12,7.04,65.65,08-Jul-21
GEMER- 1 TAB 10 S,84.8,1,"January, 2023",8.48,12,8.18,76.32,08-Jul-21
GANATON 50MG 10 S BOX,138.35,1,"February, 2023",13.84,12,13.34,124.51,08-Jul-21
GENTEAL EYE DROP 10 ML.,182,1,"October, 2022",18.2,12,17.54,163.8,08-Jul-21
ASCORIL-LS SYP 100ML,108,1,"January, 2023",10.8,12,10.42,97.2,08-Jul-21
OTRIVIN FAST RELI 10ML,88,1,"January, 2024",8.8,12,8.48,79.2,08-Jul-21
AQUAZIDE 12.5MG 10 S,10.92,4,"May, 2022",4.37,12,4.22,39.31,08-Jul-21
EVION-400MG CAP 10 S,32.7,1,"June, 2023",3.27,12,3.16,29.43,08-Jul-21
TRAJENTA 5 TAB 10 SA,515,1,"July, 2023",51.5,12,49.66,463.5,08-Jul-21
VOLIX R 0.2/0.5 TAB,128,1,"September, 2022",12.8,12,12.34,115.2,08-Jul-21
SUPRADYN TAB 15 S,33.93,1,"April, 2023",3.39,12,3.28,30.54,08-Jul-21
ADESUM 200 TAB,313,1,"August, 2023",31.3,18,42.98,281.7,08-Jul-21
D-ROZAVEL 10MG TAB,181,1,"August, 2022",18.1,12,17.46,162.9,08-Jul-21
SOMPRAZ D 40 TAB,200,1,"February, 2023",20,12,19.28,180,08-Jul-21
GLUCRETA TAB 10TAB,113.7,1,"February, 2023",11.37,12,10.96,102.33,08-Jul-21
DIATAAL-D CAP,104,1,"June, 2022",10.4,12,10.02,93.6,08-Jul-21
ZEROLAC 400GM,540,1,"July, 2022",21.6,18,79.08,518.4,08-Jul-21
CORSYL SYP 100ML,76,1,"February, 2023",7.6,12,7.32,68.4,08-Jul-21
ZADUCLAV-625 TAB 10 S,200.5,0.6,"April, 2022",12.03,12,11.6,108.27,08-Jul-21
DICLOGESIC TAB 10 SBW,45.8,0.6,"April, 2022",2.75,12,2.64,24.73,08-Jul-21
PAN-40MG TAB 15 S,149,0.4,"September, 2023",5.96,12,5.74,53.64,08-Jul-21
CAFRAGIN TAB 10 S,40,0.6,"January, 2026",2.4,12,2.32,21.6,08-Jul-21
OFM SUSPEN 60ML,39.77,1,"September, 2021",3.98,12,3.84,35.79,08-Jul-21
TIXYLIX COUGH LINT 60ML,76.89,1,"February, 2021",7.69,12,7.42,69.2,08-Jul-21
AMBRODIL S SYP 100ML,27.6,1,"July, 2023",2.76,12,2.66,24.84,08-Jul-21
DOMPAN-FORTE TAB 10 SF,110,1,"August, 2022",11,12,10.6,99,08-Jul-21
MOXIF-400MG TAB 5 S,141.35,1,"August, 2023",14.14,12,13.62,127.21,08-Jul-21
NIMULID 100 TAB 15 S,77.1,0.267,"October, 2024",2.06,12,1.98,18.5,08-Jul-21
GLUCONORM-G 4 TAB 10 SB,215.35,1,"January, 2023",21.54,12,20.76,193.81,08-Jul-21
ROSUMAC-10 TAB,206.85,1,"August, 2023",20.69,12,19.94,186.16,08-Jul-21
JANUMET 50/500 15 S,405,1,"January, 2023",40.5,12,39.06,364.5,08-Jul-21
AMARYL M1 TAB,220.78,1,"February, 2023",22.08,12,21.28,198.7,08-Jul-21
TAZLOC-AM TAB 10 SBP,117,1,"February, 2022",11.7,12,11.28,105.3,08-Jul-21
P-125 TAB 10 S,9.85,0.6,"July, 2022",0.59,12,0.56,5.32,08-Jul-21
TIXYLIX COUGH LINT 60ML,76.89,1,"February, 2021",7.69,12,7.42,69.2,08-Jul-21
COTTON (BENGAL) 25GM,24,1,"July, 2023",0,12,2.58,24,08-Jul-21
DREP EAR DROP 5ML,80,1,"April, 2023",8,12,7.72,72,08-Jul-21
AZIBACT-200 REDIMIX SYP 15ML,51.58,1,"October, 2022",5.16,12,4.98,46.42,08-Jul-21
PANZEL-DSR,95,0.2,"July, 2022",1.9,12,1.84,17.1,08-Jul-21
CAFRAGIN TAB 10 S,40,0.2,"January, 2026",0.8,12,0.78,7.2,08-Jul-21
ZADUCLAV-375 TAB,190.5,0.2,"January, 2022",3.81,12,3.68,34.29,08-Jul-21
MULTI-VITAL SYP 200ML,120,1,"October, 2022",12,18,16.48,108,08-Jul-21
CORSYL SYP 100ML,76,1,"February, 2023",7.6,12,7.32,68.4,08-Jul-21
ZADUCLAV-625 TAB 10 S,200.5,0.6,"April, 2022",12.03,12,11.6,108.27,08-Jul-21
DICLOGESIC TAB 10 SBW,50.3,0.6,"October, 2022",3.02,12,2.92,27.16,08-Jul-21
